parameter_id,module,parameter_name,parameter_level,population_scope,denominator,analysis_role,analysis_tier,prepolicy_anchor_value,prepolicy_anchor_period,prepolicy_initialization_rule,post_anchor_value,post_anchor_period,main_value,sensitivity_values,unit,baseline_transition_id,main_transition_id,sensitivity_transition_ids,agent_state_field,eligibility_rule,prompt_visibility,normative_prompt_gate,state_gate,off_scenario_rule,double_counting_guard,assumption_register,source_organization,source_title,source_publication_date,source_url,source_evidence_grade,mapping_evidence_grade,interpretation_boundary,version
P-A-01a,A,homework_cap_primary_grade_1_2,institutional_rule,primary_grade_1_2,written_homework_rule,inherited_context,context_only,0.0,2018-12-28 onward,Apply the inherited rule identically in every P scenario from its official effective date; omit before that date,0,2021 onward,0,,minutes_per_day,HOMEWORK_CAP_BASELINE_ALL,,,prepolicy_homework_cap_minutes,child_stage=primary and grade in 1-2,context_only,all_scenarios_from_2018-12-28,,Retain the inherited cap; A=0 does not remove it,Do not treat an institutional upper bound as observed homework duration or as a numerical treatment effect,None beyond stage lookup,Ministry of Education and eight other departments,中小学生减负措施,2018-12-28,https://www.moe.gov.cn/srcsite/A06/s3321/201812/t20181229_365360.html,A,A,The rule predates Double Reduction and must not be switched off in P0 or P_MINUS_A,v4
P-A-01b,A,homework_cap_primary_grade_3_6,institutional_rule,primary_grade_3_6,written_homework_rule,inherited_context,context_only,60.0,2018-12-28 onward,Apply the inherited rule identically in every P scenario from its official effective date; omit before that date,60,2021 onward,60,,minutes_per_day,HOMEWORK_CAP_BASELINE_ALL,,,prepolicy_homework_cap_minutes,child_stage=primary and grade in 3-6,context_only,all_scenarios_from_2018-12-28,,Retain the inherited cap; A=0 does not remove it,Do not treat an institutional upper bound as observed homework duration or as a numerical treatment effect,None beyond stage lookup,Ministry of Education and eight other departments,中小学生减负措施,2018-12-28,https://www.moe.gov.cn/srcsite/A06/s3321/201812/t20181229_365360.html,A,A,The rule is a normative upper bound rather than individual use,v4
P-A-01c,A,homework_cap_junior_secondary,institutional_rule,junior_secondary,written_homework_rule,inherited_context,context_only,90.0,2018-12-28 onward,Apply the inherited rule identically in every P scenario from its official effective date; omit before that date,90,2021 onward,90,,minutes_per_day,HOMEWORK_CAP_BASELINE_ALL,,,prepolicy_homework_cap_minutes,child_stage=junior_secondary,context_only,all_scenarios_from_2018-12-28,,Retain the inherited cap; A=0 does not remove it,Do not treat an institutional upper bound as observed homework duration or as a numerical treatment effect,None beyond stage lookup,Ministry of Education and eight other departments,中小学生减负措施,2018-12-28,https://www.moe.gov.cn/srcsite/A06/s3321/201812/t20181229_365360.html,A,A,The rule is a normative upper bound rather than individual use,v4
P-A-02,A,written_homework_completed_within_prescribed_time_share,national_student_calibration_state,compulsory_education_students,students,calibrated_implementation_state,main_mechanism_input,0.46,reported policy-pre baseline; exact month not reported,Use 0.46 only as a common structural calibration from 2021-01 through 2021-08; omit this state before 2021-01; keep identical across all P scenarios before the A state gate,at_least_0.90,2021-12,0.90,0.85_underimplementation;0.95_high_target,proportion,A_COMPLETION_BASELINE_2021_ALL,A_COMPLETION_RAMP_SEP_DEC,A_COMPLETION_STEP_SEP;A_COMPLETION_SLOW_SEP_FEB;A_COMPLETION_UNDERIMPLEMENTED;A_COMPLETION_HIGH_TARGET,homework_completed_within_prescribed_time,all sampled profiles from 2021-01 onward,profile_state_fact_without_causal_attribution,2021-08 if A=1,2021-09 if A=1,If A=0 hold the common 0.46 baseline after 2021-08,Do not rename this state as school-support effectiveness; do not also subtract an unsupported workload amount from the inherited cap,The monthly path and weighted profile assignment are researcher calibration devices; the 0.46 exact reference month is unknown,Ministry of Education,双减工作取得积极成效相关发布,2021-12-21,https://www.moe.gov.cn/fbh/live/2021/53899/mtbd/202112/t20211221_589065.html,A,C,The source reports aggregate completion within prescribed time; it does not identify why an individual student completed homework or an individual causal effect,v4
P-A-03,A,parent_perceived_homework_reduction,policy_post_outcome,surveyed_parents,parents,external_validation_anchor,validation_only,,,Never initialize or expose this outcome,0.73,2021-12,,,proportion,,,,,,never,,,Never expose this outcome in any scenario,Do not use the 0.73 value to construct profile states or prompts,,Ministry of Education / National Bureau of Statistics survey,家长感知孩子作业时间明显减少,2021-12-21,https://www.moe.gov.cn/fbh/live/2021/53899/mtbd/202112/t20211221_589065.html,A,,Perception is not objective homework-duration change and cannot be both an input and validation outcome,v4
P-B-01,B,visible_offline_tutoring_supply_reduction,national_market_state,offline_subject_tutoring_institutions,institutions,aggregate_market_calibration,main_mechanism_input,0.0,through 2021-07,Set reduction=0 and supply_index=1 identically in every P scenario through 2021-07,0.838;0.9214;0.96,2021-12;2022-02;2022-10,piecewise_official_anchors,0.88_alternative_POI_endpoint;fast_path;logistic_same_endpoints,proportion_reduced,B_SUPPLY_BASELINE_ALL,B_SUPPLY_PWL_OFFICIAL,B_SUPPLY_LOGISTIC;B_SUPPLY_FAST;B_SUPPLY_POI_ENDPOINT,visible_tutoring_supply_index,all profiles observe only the qualitative macro market state,macro_context_fact,2021-08 if B=1,2021-08 if B=1,If B=0 hold reduction=0 and supply_index=1 for all later months,Never convert institution-count reduction into household exit probability; never multiply by P-B-02,Interpolation between official anchors is a researcher assumption; the 0.88 POI endpoint is an alternative measurement,Ministry of Education; National People's Congress; East China Normal University study,校外培训机构压减进展（83.8%;92.14%;96%）,2021-12-21;2022-03-01;2022-10-29;2025,https://www.moe.gov.cn/fbh/live/2021/53899/mtbd/202112/t20211221_589066.html;https://www.moe.gov.cn/jyb_xwfb/s5147/202203/t20220301_603448.html;https://www.npc.gov.cn/npc/c2/c30834/202210/t20221029_320032.html;https://doi.org/10.16382/j.cnki.1000-5560.2025.01.003,A for official anchors;B for POI alternative,A for aggregate state,Institution counts describe visible market supply only and cannot identify whether any sampled household's institution exited,v4
P-B-02,B,subject_tutoring_participation_delta,national_household_calibration_state,school_age_households,households,quasi_experimental_endpoint,main_mechanism_input,0.0,policy-pre period,Set delta=0 and preserve the same CFPS-derived baseline exposure status in every P scenario through 2021-08,-0.062,2022-06 through 2022-09 survey window,-0.062,-0.081_CEM;immediate_step;endpoint_timing_2022_06,proportion_point_change,B_PARTICIPATION_DELTA_BASELINE_ALL,B_PARTICIPATION_DID_RAMP_SEP_2022SEP,B_PARTICIPATION_DID_STEP_SEP;B_PARTICIPATION_DID_RAMP_SEP_2022JUN;B_PARTICIPATION_CEM_RAMP_SEP_2022SEP,visible_tutoring_active,profiles with CFPS-derived prepolicy subject-tutoring exposure,profile_state_fact,2021-08 if B=1,2021-09 if B=1,If B=0 hold delta=0 and preserve baseline exposure status,Do not multiply by P-B-01; do not average DID and CEM; do not apply to profiles without eligible baseline exposure,"The study supplies an average endpoint over a June-September 2022 post sample, not a monthly path; September endpoint timing is a preregistered main assumption",Peking University China Institute for Educational Finance Research,2024年第11期简报（总第255期） 减负政策的短期效果评估：基于中国教育财政家庭调查的分析,2024-07-04,https://ciefr.pku.edu.cn/cbw/kyjb/85624b8450f84154be7d3ed3787f349a.htm,B,C,The DID is an external average effect transported to weighted CFPS archetypes; it is not an individual probability or exact June endpoint,v4
P-B-03,B,regulated_visible_tutoring_fee_multiplier,national_market_state,continuing_visible_regulated_tutoring,fees paid by continuing participants,derived_market_endpoint,main_mechanism_input,1.0,policy-pre period,Set multiplier=1.00 identically in every P scenario through 2021-08,0.60_or_lower,2022-02,0.60,0.50_stronger_stress_test;0.70_underimplementation_stress_test,multiplier,B_FEE_BASELINE_ALL,B_FEE_LINEAR_SEP_FEB,B_FEE_STEP_SEP;B_FEE_STRONGER_STRESS;B_FEE_UNDERIMPLEMENTED,visible_tutoring_fee_band,visible_tutoring_active=true and hidden_tutoring_active=false,profile_state_fact,2021-08 if B=1,2021-09 if B=1,If B=0 hold multiplier=1.00,Apply only to continuing visible regulated tutoring; never apply to hidden tutoring or nonparticipants,"0.60 is a conservative boundary implied by a decline of more than 40 percent; 0.50 and 0.70 are researcher stress values, not official interval endpoints",Ministry of Education,校外培训治理迈出坚实一步（收费较出台前平均下降四成以上）,2022-03-01,https://www.moe.gov.cn/jyb_xwfb/s5147/202203/t20220301_603448.html,A,C,0.60 is a researcher-derived conservative boundary implied by an average fee decline greater than 40 percent; the source does not provide an exact national mean and does not cover hidden or unregulated tutoring,v4
P-B-04,B,hidden_tutoring_substitution,profile_extension_state,displaced_prepolicy_tutoring_profiles,eligible displaced profiles,conditional_intention_sensitivity,predictive_extension_hidden,0.0,all months before extension activation,Set hidden_tutoring_active=false identically in every P scenario before activation,0.146 conditional stated intention,hypothetical study scenario,,share=0;0.146;0.25 crossed with lag_months=0;3;6,conditional_proportion,B_HIDDEN_BASELINE_ALL,,B_HIDDEN_SUBSTITUTION_GRID,hidden_tutoring_active,prepolicy subject-tutoring exposure and visible_tutoring_active changed from true to false,extension_state_fact_only,2021-08 if B=1,after configured lag and only in P_FULL_EXTENDED_HIDDEN,Remain false outside the registered hidden extension,Never treat 0.146 as observed behavior or national prevalence; never use it in core scenarios,The source is a conditional stated intention under a hypothetical full ban; all grid values and lags are exploratory,East China Normal University journal article,双减能消除学科类校外培训需求吗,2023,https://doi.org/10.16382/j.cnki.1000-5560.2023.09.005,C,D,This parameter is used only to test whether a weakly anchored adaptation mechanism can generate Topic2 recovery,v4
P-B-05,B,refund_market_disruption_salience,aggregate_extension_state,prepolicy_tutoring_exposed_profiles,normalized risk salience; not households,exploratory_decay_scale,predictive_extension_refund,0.0,all months before extension activation,Set salience=0 identically in every P scenario before 2021-08,1.0 normalized initial scale,2021-08,,half_life_months=2;3.3;5,normalized_index,B_REFUND_BASELINE_ALL,,B_REFUND_SALIENCE_DECAY_GRID,refund_disruption_salience,profiles with prepolicy subject-tutoring exposure; no institution-exit event is inferred,extension_risk_context_only,2021-08 if B=1,2021-08 only in P_FULL_EXTENDED_REFUND,Remain 0 outside the registered refund extension,Never infer individual institution exit; never convert complaint-lead counts into household refund probability; never state that a dispute occurred,Initial scale 1.0 is a normalization; 3.3 months is weakly derived from non-equivalent aggregate complaint-lead totals and must not be selected using Topic3 outcomes,Ministry of Education,校外培训举报线索及退费督办材料,2021-12-23,https://www.moe.gov.cn/fbh/live/2021/53899/mtbd/202112/t20211223_589763.html,C,D,The extension represents risk-context salience rather than refund incidence and is not part of the main confirmatory model,v4
