mapping_id,parameter_id,analysis_tier,environment_state,profile_state,mapping_stage,eligible_profiles,assignment_algorithm,paired_randomness_key,external_prompt_gate,state_gate,prompt_fact_template,off_scenario_behavior,prepolicy_equality_rule,direct_topic_probability_change,manipulation_check,double_counting_guard,source_evidence_grade,mapping_evidence_grade,status,version
PBM-A-CAP,P-A-01a;P-A-01b;P-A-01c,context_only,prepolicy_homework_cap_by_stage,,context_lookup,all profiles after official effective date,Lookup the inherited cap by child stage; no random assignment,,2018-12-28 in all scenarios,,既有国家规范对该学段书面家庭作业设有{cap_minutes}分钟的时长上限；这是制度上限，不代表孩子实际每天用时。,Retain the same inherited rule in P0 and every A-off scenario,Exact same rendered fact for the same eligible profile-month in every P scenario,forbidden,Inherited rule is present after its official date in every scenario,Never combine the cap with an unsupported numerical workload reduction,A,A,locked,v3
PBM-A-COMP,P-A-02,main_mechanism_input,homework_completion_share_t,homework_completed_within_prescribed_time,weighted_profile_assignment,all sampled profiles from 2021-01 onward,Within each month and replicate sort profiles by a stable uniform rank; assign true until normalized analysis-weight cumulative share reaches the monthly target; preserve the same rank across all P scenarios,HMAC(profile_sim_id|homework_completion|replicate_seed),2021-01 for common baseline;A normative policy from 2021-08,2021-01 for common baseline;2021-09 for A-specific change,本月该家庭的孩子{能够/未能}在规定时间内完成书面作业；该状态不说明形成这一结果的具体原因。,If A=0 retain the common 0.46 weighted share after 2021-08,Same weighted assignment and exact rendered fact through 2021-08 in every P scenario,forbidden,Weighted assigned share equals the registered target within one largest-profile weight tolerance,Never call this school-support effectiveness and never also subtract an unsupported workload amount,A,C,locked_with_transport_assumption,v3
PBM-A-VALID,P-A-03,validation_only,,,evaluation_only,,No profile assignment,,never,never,,Never expose in any scenario,,forbidden,Compare only as a separately measured aggregate outcome,Never include the 0.73 value in any prompt or state,A,,locked_validation_only,v3
PBM-B-SUPPLY,P-B-01,main_mechanism_input,visible_tutoring_supply_index_t=1-reduction_t,,aggregate_macro_context,all profiles observe a qualitative macro market band when B is active,Convert the aggregate supply index to preregistered qualitative bands; do not assign individual institution exit,,2021-08 if B=1,2021-08 if B=1,本月显性学科培训市场供给相对原有水平处于{基本稳定/明显收缩/高度收缩}状态；这不表示该家庭原机构已经退出。,If B=0 retain the common stable-supply band,Exact same stable-supply state before 2021-08 in every P scenario,forbidden,Aggregate supply index follows frozen anchors,Institution-count reduction never creates an institution_exit_exposed field and is never multiplied by household participation change,A,A for aggregate state,locked_no_ecological_transfer,v3
PBM-B-PART,P-B-02,main_mechanism_input,tutoring_participation_delta_t,visible_tutoring_active,weighted_profile_assignment,profiles with CFPS-derived prepolicy subject-tutoring exposure,"Let the baseline weighted participation be the eligible exposed-profile share; target=max(0,baseline_share+delta_t); retain active status for stable-ranked exposed profiles until the target is reached; nonexposed profiles remain inactive in the main model",HMAC(profile_sim_id|visible_tutoring|replicate_seed),baseline status in all scenarios;B normative context from 2021-08,B-specific state change from 2021-09,该家庭当前{仍参加/已停止参加/政策前未观察到参加}显性学科类校外培训。,If B=0 preserve baseline exposure status,Same baseline status and stable rank through 2021-08 in every P scenario,forbidden,Weighted active share equals baseline plus the registered delta within tolerance,Do not multiply by P-B-01 and do not average DID with CEM,B,C,locked_with_transport_assumption,v3
PBM-B-FEE,P-B-03,main_mechanism_input,regulated_fee_multiplier_t,visible_tutoring_fee_band,deterministic_profile_update,visible_tutoring_active=true and hidden_tutoring_active=false,Apply the multiplier only to a generalized baseline fee-band midpoint for internal state calculation and re-bin to lower/similar burden; never send an exact CFPS amount,,2021-08 if B=1,2021-09 if B=1,对仍参加的显性受监管培训，该家庭面临的收费负担相对原有水平{下降/接近原水平}。,If B=0 retain multiplier=1 and baseline fee band,Exact same fee state through 2021-08 in every P scenario,forbidden,No fee state assigned to nonparticipants or hidden tutoring,Never apply the multiplier outside continuing visible regulated tutoring,A,C,locked_with_derived_boundary,v3
PBM-B-HIDDEN,P-B-04,predictive_extension_hidden,hidden_substitution_share_and_lag,hidden_tutoring_active,extension_weighted_assignment,prepolicy subject-tutoring profiles whose visible participation changes from true to false,After the configured lag use a stable rank to assign the configured conditional share; run every preregistered grid cell and never choose by Topic2 recovery,HMAC(profile_sim_id|hidden_tutoring|replicate_seed),2021-08 B normative context only,after configured lag and only in P_FULL_EXTENDED_HIDDEN,在该扩展设定中，该家庭{能够/未被设定为能够}转向非公开学科辅导；这是一项敏感性设定而非已观察事实。,False in every core scenario and every scenario before extension activation,Exact same false state before activation in every P scenario,forbidden,Only eligible displaced profiles can be assigned true and weighted share equals the selected grid value,Never present 0.146 as observed behavior or national prevalence,C,D,locked_extension_only,v3
PBM-B-REFUND,P-B-05,predictive_extension_refund,refund_disruption_salience_t,refund_disruption_salience,extension_risk_context,profiles with policy-pre subject-tutoring exposure,Expose only a normalized qualitative risk-context band; do not draw an institution exit or individual refund event; run every registered half-life,,2021-08 B normative context only,2021-08 and only in P_FULL_EXTENDED_REFUND,该家庭政策前曾有培训暴露，当前培训市场合同与预付费风险背景为{低/中/高}；这不表示已经发生退费纠纷。,Zero in every core scenario and outside the registered refund extension,Exact same zero state before 2021-08 in every P scenario,forbidden,Salience starts at normalized 1 only in extension runs and decays by the selected half-life,Never infer institution exit and never convert complaint-lead counts into household refund probability,C,D,locked_extension_only,v3
PBM-C-OFFER,P-C-01,manipulation_check,afterschool_offer_coverage_t,,aggregate_check,,No individual assignment and no external prompt fact,,never,2021-09 if C=1,,If C=0 leave aggregate coverage unassigned rather than treating it as zero,,forbidden,Aggregate school coverage follows the registered implementation anchor,Do not multiply school coverage by student take-up,A,,locked_manipulation_check,v3
PBM-C-TAKE,P-C-02,main_mechanism_input,afterschool_takeup_t,afterschool_participates,weighted_profile_assignment,all sampled profiles from 2021-01 onward,Within each month and replicate assign participation by a stable rank until normalized analysis-weight cumulative share reaches the unconditional monthly target; preserve the same rank across P scenarios and never prioritize by expected topic,HMAC(profile_sim_id|afterschool_takeup|replicate_seed),2021-01 common baseline;C normative policy from 2021-08,C-specific participation change from 2021-09,该家庭的孩子本月{参加/未参加}学校课后服务。,If C=0 retain the common 0.491 weighted share after 2021-08,Same weighted assignment and exact rendered fact through 2021-08 in every P scenario,forbidden,Weighted assigned share equals the registered target within one largest-profile weight tolerance,Do not multiply by school coverage and do not add another estimated participation effect,A,C,locked_with_transport_assumption,v3
PBM-C-SUPPLY,P-C-03a;P-C-03b,main_context_input,afterschool_offer_days_and_minutes,,institutional_rule_context,C=1 from 2021-09,From September render the registered school-offer rule as a normative institutional condition; do not infer individual attendance,,C normative policy from 2021-08,2021-09 if C=1,当前学校课后服务按制度要求原则上每周提供{days}天、每天至少{minutes}分钟；这不表示该家庭每天实际参加，也不表示服务质量。,If C=0 omit this rule and state,No C-specific supply state is rendered before September; all scenarios share the same prepolicy prompt through July,forbidden,Offer facts appear only when C is active and the September state gate passes,Never equate institutional offer with attendance or service quality,A,A for normative rule,locked_with_dual_gate,v3
PBM-C-VALID,P-C-04,validation_only,,,evaluation_only,,No profile assignment,,never,never,,Never expose in any scenario,,forbidden,External aggregate validation only,Never include satisfaction in prompts or objective quality states,A/B,,locked_validation_only,v3
